account_id,product_id,has_product,current_revenue_eur,potential_revenue_bucket,whitespace_priority
ACME-EU-90001,PROD-01,False,0.0,Low,P1
ACME-EU-90001,PROD-02,False,0.0,High,N/A
ACME-EU-90001,PROD-03,False,0.0,High,N/A
ACME-EU-90001,PROD-04,False,0.0,High,N/A
ACME-EU-90001,PROD-05,False,0.0,High,N/A
ACME-EU-90001,PROD-06,False,0.0,Medium,P3
ACME-EU-90001,PROD-07,True,480862.43,None,N/A
ACME-EU-90001,PROD-08,False,0.0,High,P1
ACME-EU-90002,PROD-01,True,263388.71,None,N/A
ACME-EU-90002,PROD-02,True,410508.16,None,N/A
ACME-EU-90002,PROD-03,True,182535.96,None,N/A
ACME-EU-90002,PROD-04,True,0.0,None,P3
ACME-EU-90002,PROD-05,True,303327.48,None,N/A
ACME-EU-90002,PROD-06,True,127802.72,None,N/A
ACME-EU-90002,PROD-07,True,141321.92,None,N/A
ACME-EU-90002,PROD-08,True,0.0,None,P3
ACME-EU-90003,PROD-01,False,348272.87,High,N/A
ACME-EU-90003,PROD-02,False,280189.53,High,N/A
ACME-EU-90003,PROD-03,False,0.0,High,P2
ACME-EU-90003,PROD-04,False,0.0,High,P1
ACME-EU-90003,PROD-05,False,0.0,High,P1
ACME-EU-90003,PROD-06,False,419767.05,High,N/A
ACME-EU-90003,PROD-07,False,0.0,High,P1
ACME-EU-90003,PROD-08,False,492927.81,High,N/A
ACME-EU-90004,PROD-01,True,453718.35,None,N/A
ACME-EU-90004,PROD-02,True,109561.23,None,N/A
ACME-EU-90004,PROD-03,True,188340.15,None,N/A
ACME-EU-90004,PROD-04,False,0.0,Medium,P1
ACME-EU-90004,PROD-05,False,0.0,Medium,P3
ACME-EU-90004,PROD-06,True,460136.71,None,N/A
ACME-EU-90004,PROD-07,False,0.0,Low,P3
ACME-EU-90004,PROD-08,False,0.0,Medium,P3
ACME-EU-90005,PROD-01,False,0.0,Medium,P2
ACME-EU-90005,PROD-02,False,0.0,High,P1
ACME-EU-90005,PROD-03,True,162128.1,None,N/A
ACME-EU-90005,PROD-04,True,387047.75,None,N/A
ACME-EU-90005,PROD-05,False,0.0,Low,P2
ACME-EU-90005,PROD-06,True,107207.86,None,N/A
ACME-EU-90005,PROD-07,False,0.0,Medium,P3
ACME-EU-90005,PROD-08,False,0.0,Medium,P3
ACME-EU-90006,PROD-01,False,0.0,Low,P3
ACME-EU-90006,PROD-02,True,317888.06,None,N/A
ACME-EU-90006,PROD-03,False,0.0,Medium,P1
ACME-EU-90006,PROD-04,True,405629.75,None,N/A
ACME-EU-90006,PROD-05,False,0.0,Medium,P1
ACME-EU-90006,PROD-06,True,456704.86,None,N/A
ACME-EU-90006,PROD-07,False,0.0,Low,P2
ACME-EU-90006,PROD-08,True,109437.21,None,N/A
ACME-EU-90007,PROD-01,False,0.0,Medium,P2
ACME-EU-90007,PROD-02,True,400615.25,None,N/A
ACME-EU-90007,PROD-03,False,0.0,Low,P1
ACME-EU-90007,PROD-04,False,0.0,Low,P2
ACME-EU-90007,PROD-05,False,0.0,High,P3
ACME-EU-90007,PROD-06,False,0.0,Medium,P1
ACME-EU-90007,PROD-07,True,365691.19,None,N/A
ACME-EU-90007,PROD-08,False,0.0,Medium,P2
ACME-EU-90008,PROD-01,False,0.0,Low,P1
ACME-EU-90008,PROD-02,False,0.0,Low,P2
ACME-EU-90008,PROD-03,True,405185.57,None,N/A
ACME-EU-90008,PROD-04,True,131676.33,None,N/A
ACME-EU-90008,PROD-05,True,386615.51,None,N/A
ACME-EU-90008,PROD-06,False,0.0,Medium,P1
ACME-EU-90008,PROD-07,False,0.0,Medium,P1
