fund_record_id,account_id,launch_date,launch_size_eur
FUND-0000001,ACME-EU-90020,2026-01-27,258937389.22384417
FUND-0000002,ACME-EU-90037,2025-12-20,398363611.2013865
FUND-0000003,ACME-EU-90029,2025-12-01,202083455.5961845
FUND-0000004,ACME-EU-90015,2025-12-13,459832620.0924419
FUND-0000005,ACME-EU-90021,2026-02-05,348821116.98816997
FUND-0000006,ACME-EU-90046,2025-11-03,27233048.460069973
FUND-0000007,ACME-EU-90040,2025-06-23,480397207.6733083
FUND-0000009,ACME-EU-90014,2025-06-22,217177940.41653183
FUND-0000010,ACME-EU-90045,2025-07-10,496442840.659153
FUND-0000011,ACME-EU-90019,2025-10-08,290424039.35904187
FUND-0000012,ACME-EU-90030,2026-03-15,451003128.3120451
FUND-0000013,ACME-EU-90004,2026-01-05,465081406.565522
FUND-0000014,ACME-EU-90038,2026-01-03,154943280.30852652
FUND-0000017,ACME-EU-90027,2025-06-19,67382437.86313653
FUND-0000019,ACME-EU-90023,2025-09-12,133842446.84680462
FUND-0000020,ACME-EU-90032,2025-11-05,212787932.94988886
FUND-0000021,ACME-EU-90042,2025-06-30,261397486.4934395
FUND-0000022,ACME-EU-90034,2025-12-11,466952604.13863033
FUND-0000023,ACME-EU-90010,2025-09-04,447704295.06465733
FUND-0000024,ACME-EU-90043,2026-01-25,148524720.47356185
FUND-0000025,ACME-EU-90011,2025-06-15,453302957.46954215
FUND-0000026,ACME-EU-90041,2025-09-01,320111986.9465869
FUND-0000027,ACME-EU-90016,2026-03-24,461629736.3193893
FUND-0000028,ACME-EU-90025,2025-07-03,132150465.07284458
FUND-0000029,ACME-EU-90013,2025-07-08,397838125.146308
FUND-0000030,ACME-EU-90048,2025-09-18,44047233.79168972
FUND-G1,ACME-EU-90001,2026-03-15,500000000.0
FUND-G2,ACME-EU-90001,2026-02-20,250000000.0
FUND-C1,ACME-EU-90003,2026-03-10,100000000.0
FUND-C2,ACME-EU-90003,2026-03-20,150000000.0
