account_id,country,segment,fund_size_eur,strategic_priority_flag
ACME-EU-00001,CH,PIAO,4137767091.609409,False
ACME-EU-00002,ES,FAM,3822874445.4789333,False
ACME-EU-00003,NL,FAM,2868071228.326411,False
ACME-EU-00004,CH,PIAO,4780279670.916054,False
ACME-EU-00005,IT,PIAO,1003172103.1264855,False
ACME-EU-00006,LU,FAM,547211787.3377974,True
ACME-EU-00007,NL,FAM,4269955872.8101554,False
ACME-EU-00008,NL,PIAO,2196309933.3521075,False
ACME-EU-00009,CH,PIAO,4234997302.181095,False
ACME-EU-00010,FR,PIAO,4465557935.771879,False
ACME-EU-00011,IT,PIAO,313225510.50173813,False
ACME-EU-00012,CH,FAM,4417440350.167317,False
ACME-EU-00013,IT,PIAO,2242146957.7917414,False
ACME-EU-00014,IT,PIAO,2552652012.532157,False
ACME-EU-00015,LU,FAM,3133335962.954958,False
ACME-EU-00016,NL,PIAO,4631986651.043704,False
ACME-EU-00017,ES,FAM,96561356.05439039,True
ACME-EU-00018,LU,PIAO,2384740498.1207676,False
ACME-EU-00019,LU,PIAO,3438922490.110373,False
ACME-EU-00020,IT,FAM,3613812081.533444,False
ACME-EU-00021,BE,FAM,3462969625.2540026,False
ACME-EU-00022,NL,PIAO,673041211.9112011,False
ACME-EU-00023,FR,PIAO,1497678546.2700346,False
ACME-EU-00024,LU,PIAO,1794218911.5596502,False
ACME-EU-00025,ES,FAM,4022381601.1898456,False
ACME-EU-00026,BE,PIAO,1394520602.2003505,False
ACME-EU-00027,BE,FAM,1054314114.3721486,False
ACME-EU-00028,FR,FAM,4787282647.171443,True
ACME-EU-00029,LU,PIAO,45307562.282231025,False
ACME-EU-00030,ES,FAM,4989106457.554209,True
ACME-EU-00031,NL,PIAO,3384429672.9881206,False
ACME-EU-00032,DE,PIAO,4142518027.946136,False
ACME-EU-00033,ES,PIAO,1473802362.3346195,False
ACME-EU-00034,FR,PIAO,72562073.05763283,False
ACME-EU-00035,BE,PIAO,3689609723.2890887,False
ACME-EU-00036,NL,FAM,4170888840.4063783,False
ACME-EU-00037,ES,FAM,3702640183.635642,False
ACME-EU-00038,DE,PIAO,715108586.2168921,False
ACME-EU-00039,DE,PIAO,3767386183.3625884,False
ACME-EU-00040,IT,FAM,3844844987.7560973,False
ACME-EU-00041,IT,FAM,3293044037.8346043,False
ACME-EU-00042,CH,FAM,3830813548.0451355,False
ACME-EU-00043,FR,FAM,4229761276.948983,False
ACME-EU-00044,LU,PIAO,3068406967.073055,False
ACME-EU-00045,ES,PIAO,443934965.13442564,False
ACME-EU-00046,ES,FAM,2438651420.526387,False
ACME-EU-00047,LU,PIAO,389169024.0233537,False
ACME-EU-00048,CH,FAM,2038307612.1311216,False
ACME-EU-00049,BE,PIAO,2036125339.1390126,False
ACME-EU-00050,BE,FAM,330983210.85706764,False
ACME-EU-00051,CH,PIAO,1744753849.3134272,False
ACME-EU-00052,BE,FAM,555879495.8577828,False
ACME-EU-00053,IT,FAM,4041367814.8361015,False
ACME-EU-00054,ES,PIAO,4738492441.79639,True
ACME-EU-00055,CH,FAM,362510059.81443506,False
ACME-EU-00056,ES,PIAO,4775620921.251215,False
ACME-EU-00057,LU,PIAO,2613360420.084389,False
ACME-EU-00058,DE,FAM,1498528824.0914156,False
ACME-EU-00059,IT,PIAO,385233514.3055414,False
ACME-EU-00060,NL,PIAO,2503620716.0840187,False
ACME-EU-00061,IT,PIAO,3972783206.9092526,False
ACME-EU-00062,CH,PIAO,3535725299.856224,False
ACME-EU-00063,NL,PIAO,252079831.30840483,False
ACME-EU-00064,DE,FAM,365436275.0041497,False
ACME-EU-00065,CH,PIAO,2014963539.880553,False
ACME-EU-00066,FR,PIAO,1477157179.7456684,True
ACME-EU-00067,ES,PIAO,1162689230.9571831,False
ACME-EU-00068,DE,PIAO,1405741490.0446594,False
ACME-EU-00069,ES,PIAO,4017610233.741126,False
ACME-EU-00070,BE,FAM,4646211040.105638,True
ACME-EU-00071,FR,PIAO,2026108369.9433045,False
ACME-EU-00072,FR,FAM,4530648899.660353,False
ACME-EU-00073,DE,FAM,1608157010.538162,False
ACME-EU-00074,FR,FAM,2382708494.732614,True
ACME-EU-00075,NL,FAM,1130918960.0821826,False
ACME-EU-00076,FR,PIAO,3202739734.8370442,False
ACME-EU-00077,ES,FAM,4894926594.75887,False
ACME-EU-00078,ES,FAM,3017861987.1208496,False
ACME-EU-00079,CH,PIAO,1789712606.483631,False
ACME-EU-00080,ES,PIAO,3239439412.5066514,False
ACME-EU-00081,CH,PIAO,615480471.6484724,True
ACME-EU-00082,ES,FAM,4443406742.246728,True
ACME-EU-00083,NL,PIAO,2515916669.948402,False
ACME-EU-00084,LU,PIAO,2247299360.4561706,False
ACME-EU-00085,CH,FAM,2929738077.4791427,False
ACME-EU-00086,IT,PIAO,3124294530.084223,False
ACME-EU-00087,BE,PIAO,359807255.32633865,False
ACME-EU-00088,DE,PIAO,3413403488.8957887,True
ACME-EU-00089,ES,PIAO,1210416469.8973324,False
ACME-EU-00090,FR,FAM,3570049209.9004426,True
ACME-EU-00091,LU,PIAO,4112851437.1265993,True
ACME-EU-00092,ES,PIAO,4019988579.2550488,True
ACME-EU-00093,FR,FAM,2762952336.0720377,False
ACME-EU-00094,BE,PIAO,2601329291.661445,True
ACME-EU-00095,BE,FAM,715236930.7357192,True
ACME-EU-00096,BE,PIAO,3876955405.865275,False
ACME-EU-00097,FR,FAM,1357775492.853125,False
ACME-EU-00098,ES,FAM,2483980418.666915,False
ACME-EU-00099,BE,FAM,1422086190.544656,False
ACME-EU-00100,NL,FAM,670007986.635466,True
ACME-EU-00101,CH,PIAO,3148158926.761791,False
ACME-EU-00102,FR,FAM,272605842.07969624,False
ACME-EU-00103,FR,PIAO,3743477525.396874,False
ACME-EU-00104,ES,FAM,1588616389.510322,False
ACME-EU-00105,FR,FAM,1673330.3294221149,False
ACME-EU-00106,FR,FAM,2556134567.0469117,True
ACME-EU-00107,BE,PIAO,235212690.72948802,False
ACME-EU-00108,ES,FAM,1381571619.5466764,True
ACME-EU-00109,BE,PIAO,3535175460.7911253,False
ACME-EU-00110,CH,PIAO,314385418.48770744,False
ACME-EU-00111,LU,PIAO,4196853123.287656,False
ACME-EU-00112,CH,PIAO,20095793.370256957,False
ACME-EU-00113,LU,PIAO,1234872522.1403093,False
ACME-EU-00114,BE,PIAO,3704779376.704205,False
ACME-EU-00115,CH,PIAO,1582034478.4968047,False
ACME-EU-00116,ES,PIAO,510360047.94200164,False
ACME-EU-00117,DE,PIAO,1801809360.083339,False
ACME-EU-00118,BE,FAM,1352696038.636243,False
ACME-EU-00119,LU,FAM,4213716798.900614,False
ACME-EU-00120,NL,FAM,1567426240.0081306,False
ACME-EU-00121,LU,FAM,3944873426.4082603,False
ACME-EU-00122,NL,FAM,4459468851.908863,False
ACME-EU-00123,FR,PIAO,2169653280.4630713,True
ACME-EU-00124,CH,PIAO,4549805776.128106,False
ACME-EU-00125,NL,PIAO,1887212951.762001,False
ACME-EU-00126,LU,PIAO,4820428004.034051,False
ACME-EU-00127,FR,PIAO,447358333.1033391,False
ACME-EU-00128,DE,PIAO,3435409313.2497106,False
ACME-EU-00129,ES,PIAO,2469576388.2441864,False
ACME-EU-00130,ES,FAM,1938856378.4727798,False
ACME-EU-00131,ES,FAM,3163926681.864256,False
ACME-EU-00132,NL,FAM,3519581601.0800214,False
ACME-EU-00133,DE,FAM,22811984.981895126,True
ACME-EU-00134,NL,PIAO,835598490.6472464,True
ACME-EU-00135,CH,PIAO,3565517207.1209593,False
ACME-EU-00136,NL,PIAO,3332260682.477454,False
ACME-EU-00137,DE,FAM,4830271478.138257,False
ACME-EU-00138,DE,PIAO,3805427913.463664,True
ACME-EU-00139,CH,PIAO,4753912765.948958,False
ACME-EU-00140,DE,PIAO,3512999967.1725,False
ACME-EU-00141,LU,FAM,1490962990.9885764,False
ACME-EU-00142,DE,PIAO,527719246.3320315,True
ACME-EU-00143,ES,FAM,3909337492.861333,False
ACME-EU-00144,LU,FAM,3221101958.1581035,False
ACME-EU-00145,LU,FAM,241881875.95408785,False
ACME-EU-00146,CH,FAM,1800892279.0389907,False
ACME-EU-00147,IT,PIAO,4784042277.605947,False
ACME-EU-00148,IT,FAM,2502505327.405296,False
ACME-EU-00149,DE,FAM,2164212950.9625034,False
