account_id,conference_id,signal_strength
ACME-EU-00001,CONF-009,low
ACME-EU-00002,CONF-001,high
ACME-EU-00003,CONF-005,low
ACME-EU-00003,CONF-024,low
ACME-EU-00005,CONF-019,low
ACME-EU-00005,CONF-004,high
ACME-EU-00005,CONF-006,low
ACME-EU-00005,CONF-002,medium
ACME-EU-00007,CONF-022,high
ACME-EU-00007,CONF-021,high
ACME-EU-00008,CONF-001,high
ACME-EU-00009,CONF-021,low
ACME-EU-00012,CONF-008,low
ACME-EU-00013,CONF-019,low
ACME-EU-00013,CONF-002,high
ACME-EU-00014,CONF-008,low
ACME-EU-00015,CONF-010,high
ACME-EU-00016,CONF-007,medium
ACME-EU-00016,CONF-010,low
ACME-EU-00016,CONF-021,medium
ACME-EU-00016,CONF-017,high
ACME-EU-00016,CONF-022,low
ACME-EU-00016,CONF-015,low
ACME-EU-00017,CONF-009,low
ACME-EU-00017,CONF-024,low
ACME-EU-00017,CONF-004,high
ACME-EU-00018,CONF-005,medium
ACME-EU-00018,CONF-019,low
ACME-EU-00018,CONF-009,medium
ACME-EU-00018,CONF-017,medium
ACME-EU-00018,CONF-022,medium
ACME-EU-00021,CONF-019,low
ACME-EU-00021,CONF-023,high
ACME-EU-00021,CONF-025,high
ACME-EU-00021,CONF-015,medium
ACME-EU-00024,CONF-018,medium
ACME-EU-00024,CONF-011,low
ACME-EU-00024,CONF-024,high
ACME-EU-00024,CONF-010,low
ACME-EU-00024,CONF-025,medium
ACME-EU-00024,CONF-009,medium
ACME-EU-00024,CONF-020,medium
ACME-EU-00025,CONF-009,low
ACME-EU-00025,CONF-015,high
ACME-EU-00025,CONF-011,medium
ACME-EU-00025,CONF-006,high
ACME-EU-00025,CONF-014,low
ACME-EU-00025,CONF-022,low
ACME-EU-00026,CONF-020,medium
ACME-EU-00026,CONF-019,high
ACME-EU-00026,CONF-004,low
ACME-EU-00026,CONF-006,high
ACME-EU-00026,CONF-009,medium
ACME-EU-00027,CONF-013,low
