opportunity_id,account_id,deal_size_eur,open_date,status,close_date
OPP-0000001,ACME-EU-00001,1446834.4197782548,2025-11-27,lost,2026-01-03
OPP-0000002,ACME-EU-00001,1355301.5761562448,2025-06-12,lost,
OPP-0000003,ACME-EU-00001,980134.2349874412,2025-11-23,won,2025-12-19
OPP-0000004,ACME-EU-00001,1302442.4188388742,2025-12-28,lost,
OPP-0000005,ACME-EU-00002,124805.03183655057,2025-09-02,won,2025-10-06
OPP-0000006,ACME-EU-00002,1261855.62418073,2026-02-17,won,2026-03-16
OPP-0000007,ACME-EU-00002,1566861.5257969105,2025-11-27,lost,
OPP-0000008,ACME-EU-00002,1025698.8027495609,2025-11-08,lost,
OPP-0000009,ACME-EU-00003,747150.990433112,2025-08-07,won,2025-09-25
OPP-0000010,ACME-EU-00003,590982.1328619093,2025-04-13,lost,2025-06-04
OPP-0000011,ACME-EU-00003,1303463.997816061,2025-12-12,won,2025-12-24
OPP-0000012,ACME-EU-00003,1400962.337328322,2025-11-30,won,2026-01-03
OPP-0000013,ACME-EU-00004,1748386.819731958,2025-10-09,won,2025-10-25
OPP-0000014,ACME-EU-00004,717551.4607989319,2025-10-30,won,2025-12-25
OPP-0000015,ACME-EU-00004,1551055.9994018918,2025-10-11,won,2025-10-30
OPP-0000016,ACME-EU-00004,1144643.857169209,2025-05-05,lost,
OPP-0000017,ACME-EU-00005,1771531.1568222542,2025-06-25,lost,
OPP-0000018,ACME-EU-00005,1079233.6111764605,2025-05-20,lost,2025-07-12
OPP-0000019,ACME-EU-00005,1059378.165376036,2025-08-30,lost,2025-10-22
OPP-0000020,ACME-EU-00005,1176860.3088097728,2025-06-06,lost,2025-07-04
OPP-0000021,ACME-EU-00006,1511164.942527747,2025-09-30,lost,2025-10-24
OPP-0000022,ACME-EU-00006,1931146.4337154988,2025-04-30,lost,2025-05-30
OPP-0000023,ACME-EU-00006,193448.540720743,2026-02-16,lost,2026-03-18
OPP-0000024,ACME-EU-00006,154197.47466248347,2025-06-30,lost,2025-08-15
OPP-0000025,ACME-EU-00007,1878223.15794431,2025-07-17,won,2025-08-23
OPP-0000026,ACME-EU-00007,1083257.4697605018,2026-01-20,lost,
OPP-0000027,ACME-EU-00007,1249060.8784055253,2026-01-10,lost,
OPP-0000028,ACME-EU-00007,990726.0231097213,2025-09-21,lost,2025-11-14
OPP-0000029,ACME-EU-00008,232632.03258457527,2025-09-03,lost,2025-10-14
OPP-0000030,ACME-EU-00008,1547774.2879163998,2025-06-12,lost,
OPP-0000031,ACME-EU-00008,1507088.0579227444,2025-09-01,won,2025-10-21
OPP-0000032,ACME-EU-00008,657821.4769109833,2025-09-16,lost,
OPP-0000033,ACME-EU-00009,647166.5281953808,2026-01-18,lost,
OPP-0000034,ACME-EU-00009,1683790.6927657612,2026-01-14,lost,
OPP-0000035,ACME-EU-00009,191096.6525955869,2025-07-09,lost,2025-08-14
OPP-0000036,ACME-EU-00009,1768155.0392953034,2025-04-24,lost,2025-05-26
OPP-0000037,ACME-EU-00010,550490.2952970332,2025-10-30,won,
OPP-0000038,ACME-EU-00010,1206320.2581232132,2025-05-07,won,2025-05-26
OPP-0000039,ACME-EU-00010,1875188.6490534665,2025-10-26,won,2025-12-14
OPP-0000040,ACME-EU-00010,1372338.8779964605,2026-02-17,won,2026-04-08
OPP-0000041,ACME-EU-00011,858138.1343107213,2025-04-15,lost,2025-04-30
OPP-0000042,ACME-EU-00011,1394591.7073655596,2025-09-24,lost,
OPP-0000043,ACME-EU-00011,720760.2908169219,2025-06-09,lost,2025-07-12
OPP-0000044,ACME-EU-00011,590653.911880913,2025-12-11,lost,
OPP-0000045,ACME-EU-00012,1993532.3919726254,2025-04-28,won,
OPP-0000046,ACME-EU-00012,1514040.950800586,2026-02-24,won,2026-03-23
OPP-0000047,ACME-EU-00012,1307203.9558945445,2025-07-11,won,2025-07-30
OPP-0000048,ACME-EU-00012,742814.8042776716,2025-06-18,lost,
OPP-0000049,ACME-EU-00013,145863.6168523439,2026-01-16,lost,2026-02-09
OPP-0000050,ACME-EU-00013,110560.90826855344,2025-12-08,lost,
OPP-0000051,ACME-EU-00013,1130653.4481251577,2025-06-19,won,
OPP-0000052,ACME-EU-00013,1535963.8060261495,2026-02-03,lost,2026-03-29
OPP-0000053,ACME-EU-00014,1097889.4213655174,2025-08-16,lost,
OPP-0000054,ACME-EU-00014,1689530.8902812733,2025-12-19,lost,2026-02-09
OPP-0000055,ACME-EU-00014,115181.7395317822,2026-01-19,lost,2026-03-03
OPP-0000056,ACME-EU-00014,765166.5490305832,2026-03-08,lost,
OPP-0000057,ACME-EU-00015,512287.2627896472,2026-01-15,won,
OPP-0000058,ACME-EU-00015,922182.2879063879,2025-11-24,lost,2025-12-11
OPP-0000059,ACME-EU-00015,191133.96672853883,2025-06-23,lost,2025-08-21
OPP-0000060,ACME-EU-00015,1910556.7010635915,2025-05-04,lost,2025-06-17
OPP-0000061,ACME-EU-00016,485348.0320852538,2025-08-31,won,2025-10-06
OPP-0000062,ACME-EU-00016,1848500.1621929903,2025-08-04,won,2025-09-07
OPP-0000063,ACME-EU-00016,880491.6523215295,2026-01-25,lost,2026-02-06
OPP-0000064,ACME-EU-00016,1971772.0598476753,2025-09-29,won,2025-10-29
OPP-0000065,ACME-EU-00017,1130413.8477474109,2025-08-20,lost,
OPP-0000066,ACME-EU-00017,1865124.0851428246,2025-06-13,lost,2025-07-31
OPP-0000067,ACME-EU-00017,60430.52795373455,2025-05-10,lost,2025-06-20
OPP-0000068,ACME-EU-00017,1509065.6720527553,2025-06-12,won,
OPP-0000069,ACME-EU-00018,1810948.773549905,2025-08-07,won,
OPP-0000070,ACME-EU-00018,322455.10560896044,2025-07-01,lost,
OPP-0000071,ACME-EU-00018,237445.4108776954,2025-09-01,lost,2025-10-30
OPP-0000072,ACME-EU-00018,877916.5840126134,2025-05-18,won,2025-06-17
OPP-0000073,ACME-EU-00019,1870673.8669592235,2025-08-09,lost,2025-08-27
OPP-0000074,ACME-EU-00019,1107653.7923713555,2025-08-14,lost,2025-10-12
OPP-0000075,ACME-EU-00019,1078540.1042573778,2025-07-16,lost,2025-07-26
