conference_id,conference_name,conference_date,location,tier
CONF-001,Conference 1,2025-12-17,Milan,tier_3
CONF-002,Conference 2,2025-10-01,London,tier_3
CONF-003,Conference 3,2025-12-27,Frankfurt,tier_2
CONF-004,Conference 4,2026-03-15,Paris,tier_1
CONF-005,Conference 5,2025-12-13,Milan,tier_2
CONF-006,Conference 6,2026-01-17,Frankfurt,tier_2
CONF-007,Conference 7,2025-09-22,London,tier_1
CONF-008,Conference 8,2026-03-09,London,tier_2
CONF-009,Conference 9,2025-12-17,Luxembourg,tier_1
CONF-010,Conference 10,2025-11-28,Luxembourg,tier_3
CONF-011,Conference 11,2026-01-14,Paris,tier_2
CONF-012,Conference 12,2026-01-01,Frankfurt,tier_2
CONF-013,Conference 13,2025-12-03,Frankfurt,tier_2
CONF-014,Conference 14,2025-12-20,Luxembourg,tier_2
CONF-015,Conference 15,2025-12-16,Frankfurt,tier_2
CONF-016,Conference 16,2025-10-29,Frankfurt,tier_1
CONF-017,Conference 17,2025-11-19,London,tier_3
CONF-018,Conference 18,2025-10-31,Luxembourg,tier_3
CONF-019,Conference 19,2026-02-05,Milan,tier_3
CONF-020,Conference 20,2026-03-28,Luxembourg,tier_3
CONF-021,Conference 21,2026-01-01,Milan,tier_2
CONF-022,Conference 22,2025-10-23,London,tier_3
CONF-023,Conference 23,2026-02-20,Paris,tier_1
CONF-024,Conference 24,2025-11-20,Frankfurt,tier_1
CONF-025,Conference 25,2025-09-23,London,tier_1
