account_id,product_id,product_line,country,expected_rev_eur,ws_score,cluster_id
ACME-EU-90001,P-GRC,Middle Office,NL,300000,0.8,0
ACME-EU-90001,P-ESG,ESG Reporting,NL,300000,0.8,0
ACME-EU-90003,P-GRC,Middle Office,LU,150000,0.75,3
ACME-EU-90009,P-ESG,ESG Reporting,LU,150000,0.75,1
ACME-EU-90018,P-GRC,Middle Office,LU,150000,0.75,2
ACME-EU-90018,P-ESG,ESG Reporting,LU,150000,0.75,2
ACME-EU-90024,P-ESG,ESG Reporting,CH,150000,0.75,1
ACME-EU-90031,P-GRC,Middle Office,NL,150000,0.75,2
ACME-EU-90031,P-ESG,ESG Reporting,NL,150000,0.75,2
ACME-EU-90034,P-GRC,Middle Office,NL,150000,0.75,0
ACME-EU-90034,P-ESG,ESG Reporting,NL,150000,0.75,0
ACME-EU-90038,P-ESG,ESG Reporting,LU,150000,0.75,1
ACME-EU-90044,P-GRC,Middle Office,BE,150000,0.75,2
ACME-EU-90044,P-ESG,ESG Reporting,BE,150000,0.75,2
ACME-EU-90001,P-DEP,Depositary,NL,300000,0.68,0
ACME-EU-90001,P-KYC,Compliance,NL,300000,0.68,0
ACME-EU-90003,P-DEP,Depositary,LU,150000,0.63,3
ACME-EU-90003,P-KYC,Compliance,LU,150000,0.63,3
ACME-EU-90009,P-KYC,Compliance,LU,150000,0.63,1
ACME-EU-90018,P-DEP,Depositary,LU,150000,0.63,2
ACME-EU-90024,P-DEP,Depositary,CH,150000,0.63,1
ACME-EU-90024,P-KYC,Compliance,CH,150000,0.63,1
ACME-EU-90031,P-DEP,Depositary,NL,150000,0.63,2
ACME-EU-90034,P-DEP,Depositary,NL,150000,0.63,0
ACME-EU-90034,P-KYC,Compliance,NL,150000,0.63,0
ACME-EU-90038,P-KYC,Compliance,LU,150000,0.63,1
ACME-EU-90044,P-DEP,Depositary,BE,150000,0.63,2
ACME-EU-90001,P-CORP,Corporate Secretarial,NL,300000,0.59,0
ACME-EU-90022,P-CORP,Corporate Secretarial,IT,300000,0.59,3
ACME-EU-90049,P-CORP,Corporate Secretarial,IT,300000,0.59,4
ACME-EU-90002,P-ESG,ESG Reporting,NL,150000,0.55,1
ACME-EU-90004,P-GRC,Middle Office,NL,150000,0.55,0
ACME-EU-90004,P-ESG,ESG Reporting,NL,150000,0.55,0
ACME-EU-90005,P-GRC,Middle Office,ES,150000,0.55,0
ACME-EU-90005,P-ESG,ESG Reporting,ES,150000,0.55,0
ACME-EU-90006,P-ESG,ESG Reporting,IT,150000,0.55,1
ACME-EU-90007,P-GRC,Middle Office,FR,150000,0.55,2
ACME-EU-90007,P-ESG,ESG Reporting,FR,150000,0.55,2
ACME-EU-90008,P-GRC,Middle Office,CH,150000,0.55,2
ACME-EU-90008,P-ESG,ESG Reporting,CH,150000,0.55,2
ACME-EU-90010,P-GRC,Middle Office,DE,150000,0.55,2
ACME-EU-90010,P-ESG,ESG Reporting,DE,150000,0.55,2
ACME-EU-90012,P-GRC,Middle Office,DE,150000,0.55,3
ACME-EU-90014,P-ESG,ESG Reporting,DE,150000,0.55,1
ACME-EU-90015,P-ESG,ESG Reporting,FR,150000,0.55,1
ACME-EU-90016,P-GRC,Middle Office,ES,150000,0.55,2
ACME-EU-90016,P-ESG,ESG Reporting,ES,150000,0.55,2
ACME-EU-90017,P-ESG,ESG Reporting,NL,150000,0.55,1
ACME-EU-90019,P-GRC,Middle Office,BE,150000,0.55,2
ACME-EU-90019,P-ESG,ESG Reporting,BE,150000,0.55,2
