account_id,conference_id,signal_strength
ACME-EU-90003,CONF-011,high
ACME-EU-90010,CONF-020,low
ACME-EU-90010,CONF-006,high
ACME-EU-90010,CONF-003,low
ACME-EU-90011,CONF-011,low
ACME-EU-90013,CONF-023,high
ACME-EU-90014,CONF-020,low
ACME-EU-90014,CONF-025,high
ACME-EU-90014,CONF-005,low
ACME-EU-90014,CONF-007,medium
ACME-EU-90015,CONF-013,medium
ACME-EU-90016,CONF-012,low
ACME-EU-90019,CONF-004,low
ACME-EU-90023,CONF-006,low
ACME-EU-90023,CONF-020,medium
ACME-EU-90023,CONF-007,low
ACME-EU-90023,CONF-023,high
ACME-EU-90024,CONF-003,medium
ACME-EU-90024,CONF-001,high
ACME-EU-90025,CONF-017,high
ACME-EU-90025,CONF-007,low
ACME-EU-90025,CONF-018,high
ACME-EU-90025,CONF-023,low
ACME-EU-90025,CONF-011,high
ACME-EU-90025,CONF-019,low
ACME-EU-90027,CONF-020,medium
ACME-EU-90027,CONF-017,low
ACME-EU-90027,CONF-021,low
ACME-EU-90027,CONF-024,high
ACME-EU-90027,CONF-005,high
ACME-EU-90029,CONF-004,medium
ACME-EU-90030,CONF-008,low
ACME-EU-90030,CONF-005,high
ACME-EU-90030,CONF-007,high
ACME-EU-90030,CONF-001,high
ACME-EU-90030,CONF-020,high
ACME-EU-90030,CONF-006,low
ACME-EU-90031,CONF-011,low
ACME-EU-90031,CONF-016,low
ACME-EU-90031,CONF-022,high
ACME-EU-90031,CONF-001,high
ACME-EU-90031,CONF-019,high
ACME-EU-90033,CONF-024,high
ACME-EU-90034,CONF-022,low
ACME-EU-90036,CONF-017,medium
ACME-EU-90037,CONF-004,low
ACME-EU-90037,CONF-007,high
ACME-EU-90037,CONF-022,high
ACME-EU-90037,CONF-005,high
ACME-EU-90038,CONF-023,high
ACME-EU-90040,CONF-014,high
ACME-EU-90040,CONF-021,low
ACME-EU-90040,CONF-001,high
ACME-EU-90040,CONF-006,low
ACME-EU-90040,CONF-009,low
ACME-EU-90040,CONF-010,low
ACME-EU-90040,CONF-022,high
ACME-EU-90041,CONF-018,medium
ACME-EU-90041,CONF-010,medium
ACME-EU-90041,CONF-012,medium
ACME-EU-90041,CONF-016,high
ACME-EU-90042,CONF-016,low
ACME-EU-90042,CONF-006,low
ACME-EU-90045,CONF-008,low
ACME-EU-90045,CONF-011,high
ACME-EU-90045,CONF-023,high
ACME-EU-90045,CONF-024,medium
ACME-EU-90046,CONF-019,high
ACME-EU-90046,CONF-009,low
ACME-EU-90046,CONF-014,high
ACME-EU-90046,CONF-013,low
ACME-EU-90046,CONF-017,medium
ACME-EU-90046,CONF-016,low
ACME-EU-90047,CONF-023,medium
ACME-EU-90047,CONF-018,low
ACME-EU-90048,CONF-007,high
ACME-EU-90048,CONF-013,medium
ACME-EU-90001,CONF-003,high
ACME-EU-90001,CONF-008,high
ACME-EU-90001,CONF-010,high
ACME-EU-90001,CONF-016,high
ACME-EU-90001,CONF-025,high
ACME-EU-90003,CONF-003,high
ACME-EU-90003,CONF-008,high
ACME-EU-90003,CONF-010,high
