opportunity_id,account_id,deal_size_eur,open_date,status,close_date
OPP-0000001,ACME-EU-90001,697110.8829209922,2025-04-19,won,2025-06-03
OPP-0000002,ACME-EU-90001,468270.74967648316,2025-04-23,won,2025-05-28
OPP-0000003,ACME-EU-90001,234580.94371815067,2025-06-27,won,2025-08-01
OPP-0000004,ACME-EU-90001,1683964.530905948,2025-05-08,won,2025-06-07
OPP-0000005,ACME-EU-90002,742469.3172814907,2025-06-05,won,2025-06-17
OPP-0000006,ACME-EU-90002,1662230.8908337057,2026-01-10,won,
OPP-0000007,ACME-EU-90002,100626.42500229276,2026-02-21,won,
OPP-0000008,ACME-EU-90002,54367.17544903855,2025-05-06,won,2025-06-09
OPP-0000009,ACME-EU-90003,1852614.6150630147,2025-10-15,lost,2025-12-04
OPP-0000010,ACME-EU-90003,1364169.8394648626,2025-09-03,lost,2025-09-30
OPP-0000011,ACME-EU-90003,1989888.4312071064,2025-04-23,lost,2025-05-12
OPP-0000012,ACME-EU-90003,985034.7918093023,2025-05-22,lost,2025-07-14
OPP-0000013,ACME-EU-90004,360318.1182802636,2025-12-10,lost,2026-01-13
OPP-0000014,ACME-EU-90004,1906951.9529178727,2026-02-03,open,
OPP-0000015,ACME-EU-90004,373836.8384117688,2025-04-12,won,2025-04-23
OPP-0000016,ACME-EU-90004,770106.3487339544,2025-08-27,open,
OPP-0000017,ACME-EU-90005,1872391.9685470357,2025-07-25,lost,2025-09-04
OPP-0000018,ACME-EU-90005,209200.21563903798,2025-10-28,lost,
OPP-0000019,ACME-EU-90005,935226.1234970702,2025-05-21,lost,2025-06-08
OPP-0000020,ACME-EU-90005,1780216.6537379816,2025-07-12,lost,2025-08-31
OPP-0000021,ACME-EU-90006,672839.8675569929,2025-08-17,lost,2025-10-03
OPP-0000022,ACME-EU-90006,1927182.9785456369,2025-08-05,lost,2025-09-16
OPP-0000023,ACME-EU-90006,1994876.5706795526,2025-06-30,lost,2025-07-30
OPP-0000024,ACME-EU-90006,997730.271916749,2025-09-15,lost,2025-10-12
OPP-0000025,ACME-EU-90007,676518.5974463257,2026-02-05,lost,2026-03-01
OPP-0000026,ACME-EU-90007,1948206.0462595948,2025-08-19,lost,2025-08-30
OPP-0000027,ACME-EU-90007,1997501.145802327,2025-04-27,lost,2025-05-31
OPP-0000028,ACME-EU-90007,918165.5452578756,2025-12-26,lost,2026-01-12
OPP-0000029,ACME-EU-90008,137254.1061115634,2025-05-09,lost,
OPP-0000030,ACME-EU-90008,921769.190819956,2026-02-09,lost,2026-03-10
OPP-0000031,ACME-EU-90008,1434840.8596042597,2025-12-26,lost,2026-01-17
OPP-0000032,ACME-EU-90008,1270839.0888785822,2025-10-25,lost,2025-12-20
OPP-0000033,ACME-EU-90009,1357767.051911939,2025-04-26,lost,2025-06-03
OPP-0000034,ACME-EU-90009,1945241.77670105,2025-12-15,lost,2026-01-21
OPP-0000035,ACME-EU-90009,1340843.91972738,2025-05-10,lost,2025-05-24
OPP-0000036,ACME-EU-90009,228327.89459744326,2025-11-25,lost,2026-01-13
OPP-0000037,ACME-EU-90010,1199975.4699087741,2025-09-09,lost,2025-09-21
OPP-0000038,ACME-EU-90010,462582.9624922217,2025-06-23,won,2025-08-21
OPP-0000039,ACME-EU-90010,1600397.4882491487,2025-09-21,lost,2025-10-23
OPP-0000040,ACME-EU-90010,733096.6653443123,2025-11-11,won,2025-12-22
OPP-0000041,ACME-EU-90011,1029751.1314041549,2025-07-02,lost,2025-07-12
OPP-0000042,ACME-EU-90011,1421901.3349566043,2025-09-09,open,
OPP-0000043,ACME-EU-90011,384673.96803998004,2025-08-08,open,
OPP-0000044,ACME-EU-90011,1222065.9102077663,2026-02-16,lost,2026-03-02
OPP-0000045,ACME-EU-90012,362067.49094116373,2025-07-20,won,2025-08-18
OPP-0000046,ACME-EU-90012,1661827.8826239035,2025-04-13,lost,2025-05-10
OPP-0000047,ACME-EU-90012,698768.1755604104,2025-05-30,open,
OPP-0000048,ACME-EU-90012,1116059.5139023564,2025-09-04,open,
OPP-0000049,ACME-EU-90013,1669885.6790525594,2026-03-02,lost,2026-04-13
OPP-0000050,ACME-EU-90013,1939680.7711725584,2026-01-07,lost,2026-01-31
OPP-0000051,ACME-EU-90013,688693.2065125769,2025-11-30,won,2025-12-31
OPP-0000052,ACME-EU-90013,222328.94824282645,2025-11-11,won,2025-12-30
OPP-0000053,ACME-EU-90014,1928803.7913701823,2025-05-06,open,
OPP-0000054,ACME-EU-90014,1979141.715186644,2025-11-23,won,2026-01-14
OPP-0000055,ACME-EU-90014,1842200.3197591908,2026-01-16,open,
OPP-0000056,ACME-EU-90014,1708447.0956039978,2025-10-14,open,
OPP-0000057,ACME-EU-90015,1012700.8479303685,2025-06-03,lost,2025-06-25
OPP-0000058,ACME-EU-90015,963802.28834879,2025-12-29,open,
OPP-0000059,ACME-EU-90015,1139957.9718961762,2025-06-02,open,
OPP-0000060,ACME-EU-90015,258459.29951691255,2025-05-06,open,
OPP-0000061,ACME-EU-90016,1802537.3281552277,2025-06-20,won,2025-07-10
OPP-0000062,ACME-EU-90016,1249537.054602716,2025-09-18,lost,2025-10-31
OPP-0000063,ACME-EU-90016,1984489.3380978226,2025-05-21,lost,2025-07-08
