account_id,name,country,segment,status,key_contact,iqeq_relationship_start_date,last_contact_date,associated_conference_id,strategic_priority_flag
ACC_LU_0001,Lux Growth Fund II SCSp,LU,FAM,prospect,jenningshenry@example.org,,2025-07-01,,True
ACC_FR_0002,Gallic Private Debt Fund III SAS,FR,PIAO,prospect,bradleynewman@example.net,,2025-04-08,CONF_LU_2026_05,False
ACC_NL_0003,Dutch Infra Fund IV FGR,NL,PIAO,prospect,wrightryan@example.org,,,,True
ACC_IT_0004,IT Green Infra Fund V SpA,IT,FAM,client,lloydleanne@example.net,2021-04-02,2025-07-19,CONF_LU_2024_15,False
ACC_IT_0005,Milan Green Infra Fund I SRL,IT,PIAO,client,moorefrancesca@example.net,2017-08-23,2025-09-02,CONF_FR_2025_17,False
ACC_NL_0006,Holland Sustainable Real Estate Fund II NV,NL,PIAO,prospect,lquinn@example.com,,2025-11-14,,True
ACC_LU_0007,Lux PE Fund III SICAV,LU,PIAO,client,reedsam@example.net,2020-05-13,,CONF_LU_2024_01,True
ACC_NL_0008,Amsterdam Growth Fund IV NV,NL,FAM,client,jcook@example.org,2019-09-28,2025-03-22,,False
ACC_LU_0009,Grand Duchy Growth Fund V SICAV,LU,PIAO,client,timothy16@example.org,2019-12-20,2025-02-24,CONF_LU_2026_05,False
ACC_FR_0010,Seine Growth Fund I FPCI,FR,PIAO,client,leigh94@example.org,2017-07-28,,CONF_NL_2026_02,False
ACC_LU_0011,Europa Mid-Market Fund II SICAR,LU,FAM,client,ywilkinson@example.org,2017-02-09,,CONF_LU_2026_18,True
ACC_NL_0012,Amsterdam Real Estate Fund III FGR,NL,PIAO,client,teresa95@example.net,2025-12-05,,,False
ACC_LU_0013,Europa Private Debt Fund IV SCA,LU,PIAO,prospect,geraldinerees@example.net,,,CONF_LU_2026_14,True
ACC_FR_0014,Seine Green Infra Fund V SA,FR,FAM,prospect,gregoryrobinson@example.org,,2025-04-24,CONF_LU_2024_15,True
ACC_LU_0015,Lux PE Fund I SICAV,LU,PIAO,prospect,palmersandra@example.net,,2025-09-18,CONF_LU_2026_18,True
ACC_NL_0016,Amsterdam Private Debt Fund II CV,NL,FAM,prospect,ben55@example.org,,2025-06-26,CONF_LU_2026_11,True
ACC_FR_0017,Paris Growth Fund III SCPI,FR,FAM,prospect,rita19@example.net,,2026-01-15,CONF_LU_2024_07,False
ACC_LU_0018,Grand Duchy Private Debt Fund IV SICAR,LU,PIAO,client,eleanorbriggs@example.org,2022-09-09,2025-07-29,,False
ACC_FR_0019,Gallic Private Debt Fund V FPCI,FR,PIAO,prospect,olamb@example.net,,2025-01-01,CONF_LU_2024_07,False
ACC_FR_0020,Seine Growth Fund I FPCI,FR,PIAO,prospect,lydiaduncan@example.org,,2025-02-13,CONF_NL_2026_20,True
ACC_LU_0021,Luxembourg Private Debt Fund II SCA,LU,PIAO,client,ryannelson@example.com,2023-11-09,2025-02-07,CONF_NL_2024_19,False
ACC_NL_0022,NL PE Fund III BV,NL,PIAO,client,gary39@example.net,2025-08-21,2026-02-03,,False
ACC_NL_0023,NL Mid-Market Fund IV CV,NL,PIAO,prospect,phillip76@example.net,,,,False
ACC_LU_0024,Grand Duchy Real Estate Fund V SICAV,LU,FAM,client,iwilkins@example.org,2019-10-10,,CONF_FR_2025_17,True
ACC_LU_0025,Lux Private Debt Fund I SICAR,LU,PIAO,client,fiona69@example.com,2017-11-27,2025-04-29,,False
ACC_LU_0026,Lux Real Estate Fund II SICAR,LU,FAM,client,gerald28@example.com,2025-08-20,2025-12-23,CONF_NL_2024_19,False
ACC_NL_0027,Holland Private Debt Fund III FGR,NL,FAM,prospect,daveyjamie@example.org,,2026-02-14,CONF_FR_2024_08,True
ACC_NL_0028,NL Mid-Market Fund IV BV,NL,FAM,prospect,gailoliver@example.org,,,CONF_LU_2026_18,True
ACC_NL_0029,NL Real Estate Fund V FGR,NL,PIAO,client,dpalmer@example.net,2019-01-15,2025-07-14,CONF_LU_2024_15,True
ACC_IT_0030,Milan PE Fund I SRL,IT,FAM,client,andrea01@example.net,2023-01-19,2025-06-29,,False
ACC_FR_0031,Gallic Infra Fund II SAS,FR,FAM,prospect,jemma51@example.com,,,,False
ACC_NL_0032,Dutch PE Fund III CV,NL,FAM,client,asteele@example.net,2023-06-29,2025-06-09,CONF_FR_2026_13,True
ACC_NL_0033,NL Growth Fund IV NV,NL,PIAO,prospect,donna28@example.org,,,CONF_NL_2026_02,True
ACC_FR_0034,FR Infra Fund V SCPI,FR,FAM,client,ruth89@example.org,2021-11-11,,,False
ACC_LU_0035,Lux Real Estate Fund I SCA,LU,PIAO,prospect,karencarter@example.net,,2026-01-10,,False
ACC_LU_0036,Europa Real Estate Fund II SICAV,LU,PIAO,client,andersonwendy@example.org,2020-10-09,2025-06-16,CONF_LU_2024_07,False
ACC_NL_0037,NL Private Debt Fund III BV,NL,FAM,client,murraymohammad@example.org,2019-09-16,2025-09-08,,True
ACC_NL_0038,Holland Real Estate Fund IV NV,NL,FAM,client,smithkirsty@example.org,2024-06-12,2025-08-31,CONF_IT_2024_12,True
ACC_LU_0039,Luxembourg Real Estate Fund V SICAV,LU,PIAO,client,chandlerbrian@example.net,2020-07-16,,CONF_IT_2024_06,False
ACC_IT_0040,Milan Mid-Market Fund I SRL,IT,FAM,prospect,scottknowles@example.net,,2025-01-08,CONF_LU_2026_05,False
ACC_NL_0041,Amsterdam Real Estate Fund II FGR,NL,FAM,prospect,arthurhill@example.net,,2025-08-29,CONF_LU_2026_11,True
ACC_LU_0042,Lux ESG Infra Fund III SCA,LU,FAM,client,iarnold@example.net,2023-06-22,2025-01-28,,False
ACC_FR_0043,Paris Infra Fund IV SCPI,FR,PIAO,client,graemematthews@example.net,2020-05-02,2025-08-08,CONF_NL_2026_20,False
ACC_NL_0044,Amsterdam Infra Fund V NV,NL,FAM,client,jennifer87@example.org,2017-11-04,2025-07-29,CONF_NL_2026_20,False
ACC_IT_0045,Adriatic ESG Growth Fund I SRL,IT,PIAO,client,ericcollins@example.org,2019-12-20,2025-11-17,CONF_LU_2024_07,True
