fund_id,manager_name,domicile,asset_class,aum_eur,next_launch_date,last_launch_date,strategy_tags,launch_region_focus
FUND_IT_9096,Thomas-Holloway,IT,PE,2912208222,,2023-11-25,Venture; Mid-market,Pan-European
FUND_LU_9016,Grand Capital Partners,LU,RE,1320920310,2027-12-27,2024-06-29,Residential; Opportunistic; Value-Add,Western Europe
FUND_LU_9031,Lux Capital,LU,RE,1184911330,,,Value-Add; Logistics,Europe
FUND_NL_9159,"Wilson, Bray and Phillips",NL,RE,2505602869,,2024-07-19,Value-Add; Core; Residential,Global
FUND_LU_9129,Europa Capital,LU,Private Debt,2039947866,,2023-09-16,Senior Secured; Mezzanine,Western Europe
FUND_NL_9116,Dutch Capital,NL,RE,1199374820,,2022-04-15,Residential; Value-Add; Core,Global
FUND_FR_9070,Seine Capital,FR,Private Debt,1971467257,,,Mezzanine; Senior Secured; Unitranche,Global
FUND_NL_9171,Dutch Capital,NL,RE,2639055724,,2024-07-10,Opportunistic; Residential,Europe
FUND_IT_9175,Adriatic Capital,IT,RE,1148329000,,,Value-Add; Opportunistic; Logistics,Pan-European
FUND_LU_9046,Hall-Mason,LU,RE,377049096,,,Value-Add; Residential,Europe
FUND_LU_9067,Grand Capital,LU,Private Debt,2598799869,2027-04-26,2023-01-24,Direct Lending,Global
FUND_NL_9183,Godfrey-Ross,NL,Infra,1182052310,2026-12-10,2022-12-27,Social Infra; Digital Infra,Western Europe
FUND_NL_9166,Harrison-Hewitt,NL,PE,771553229,,,Mid-market; Distressed,Western Europe
FUND_NL_9079,Marshall-Rogers,NL,Infra,2028727027,,,Social Infra; Transportation; Digital Infra,Pan-European
FUND_IT_9187,"Sims, Nicholson and Smith",IT,Private Debt,867047304,,,Unitranche; Senior Secured,Pan-European
FUND_LU_9178,Luxembourg Capital,LU,Infra,1366673562,,,Transportation,Pan-European
FUND_LU_9057,Europa Capital,LU,Private Debt,2919863873,,,Mezzanine,Western Europe
FUND_LU_9153,Europa Capital,LU,RE,1784795418,,2023-04-17,Logistics; Residential,Pan-European
FUND_IT_9083,Milan Capital,IT,PE,1543982663,,2024-10-30,Venture; Growth; Distressed,Europe
FUND_LU_9069,Jones-Reed,LU,RE,1167723568,,,Logistics,Europe
FUND_LU_9125,Lux Capital,LU,PE,1556768436,,,Mid-market; Venture,Western Europe
FUND_LU_9017,Luxembourg Capital Partners,LU,PE,1003833888,2027-06-21,,Mid-market,Global
FUND_IT_9149,Adriatic Capital,IT,RE,2035092816,2027-09-07,2024-05-20,Logistics,Global
FUND_LU_9094,Europa Capital,LU,PE,519986358,,2024-09-15,Growth; Venture; Distressed,Western Europe
FUND_LU_9066,Lux Capital,LU,Private Debt,1444588580,,2022-12-26,Senior Secured; Mezzanine,Pan-European
FUND_NL_9061,Cunningham Ltd,NL,Private Debt,2729232967,,2023-02-26,Direct Lending; Senior Secured; Unitranche,Western Europe
FUND_LU_9085,"Walton, Parsons and Price",LU,PE,2859361250,2026-10-15,,Growth,Europe
FUND_NL_9068,NL Capital,NL,Private Debt,212598003,,2022-05-26,Direct Lending; Mezzanine,Europe
FUND_LU_9126,Luxembourg Capital,LU,RE,1336278633,2026-02-09,,Core,Western Europe
FUND_IT_9133,Milan Capital,IT,PE,2871828472,,2022-09-22,Venture; Buyout,Europe
FUND_LU_9010,Lux Capital Partners,LU,Infra,1473371922,2027-03-15,,Transportation; Renewables,Western Europe
FUND_NL_9019,Dutch Capital Partners,NL,RE,1570612815,2027-10-25,2022-04-22,Value-Add,Western Europe
FUND_LU_9056,Clayton-Kelly,LU,RE,2667834146,,2024-01-26,Value-Add; Core,Pan-European
FUND_LU_9076,Green and Sons,LU,RE,581765784,,,Opportunistic,Global
FUND_FR_9151,Seine Capital,FR,RE,2882797411,,2022-08-20,Value-Add; Opportunistic; Core,Global
FUND_NL_9105,Amsterdam Capital,NL,Infra,341436820,2026-09-19,2022-12-01,Social Infra,Global
FUND_NL_9136,Walker-Jordan,NL,Infra,790828647,2027-07-20,2023-04-04,Transportation; Social Infra,Europe
FUND_LU_9138,"Hunt, Gibson and Carter",LU,Infra,1873297898,2027-07-17,2022-10-01,Digital Infra; Transportation; Renewables,Global
FUND_FR_9165,Williams-Jones,FR,RE,2408600961,2027-05-31,2022-11-04,Core; Opportunistic; Value-Add,Pan-European
FUND_LU_9077,Luxembourg Capital,LU,PE,871634175,,2022-07-26,Buyout; Growth,Europe
FUND_NL_9080,Amsterdam Capital,NL,Infra,456394164,,2022-10-12,Renewables; Social Infra,Global
FUND_LU_9198,Lux Capital,LU,Private Debt,1537824945,,,Senior Secured,Pan-European
FUND_LU_9039,Woods-Norton,LU,PE,692193393,,,Buyout; Mid-market; Distressed,Pan-European
FUND_LU_9025,Whitehead LLC,LU,RE,162326881,,2023-05-19,Opportunistic,Global
FUND_FR_9123,FR Capital,FR,RE,1550002701,,2022-09-16,Logistics; Residential,Western Europe
FUND_IT_9196,"Mason, Winter and Taylor",IT,PE,2250920804,,2022-01-11,Growth,Europe
FUND_NL_9030,"Foster, O'Neill and Robinson",NL,Private Debt,1785441386,,2024-10-10,Direct Lending,Europe
FUND_IT_9020,Adriatic Capital Partners,IT,RE,649131159,2027-08-01,2024-08-15,Value-Add; Core; Residential,Global
FUND_FR_9144,Hanson Ltd,FR,PE,127248900,2026-10-02,,Mid-market,Europe
FUND_FR_9087,Gallic Capital,FR,Private Debt,1817381413,2026-10-25,2022-07-02,Mezzanine,Western Europe
FUND_NL_9115,Ford-Johnson,NL,PE,808256116,,,Buyout; Mid-market,Europe
FUND_FR_9174,Seine Capital,FR,RE,1418278072,,2024-09-02,Opportunistic; Core,Western Europe
FUND_NL_9006,Dutch Capital Partners,NL,Infra,452981319,2027-09-13,2024-08-13,Social Infra; Transportation,Europe
FUND_LU_9127,Cunningham-Smith,LU,PE,1578604708,2026-08-25,2024-05-22,Venture; Growth,Europe
FUND_LU_9118,Europa Capital,LU,Infra,410775759,,2023-11-04,Renewables; Transportation; Digital Infra,Global
FUND_FR_9074,Paris Capital,FR,PE,1998111456,,2024-05-05,Venture,Pan-European
FUND_LU_9141,Grand Capital,LU,Private Debt,1522503311,,2022-12-27,Unitranche,Western Europe
FUND_LU_9099,Luxembourg Capital,LU,Private Debt,463185668,,2024-06-07,Senior Secured; Direct Lending,Global
FUND_FR_9173,Gallic Capital,FR,Infra,2760635020,2027-04-22,,Social Infra; Digital Infra,Pan-European
FUND_LU_9097,Grand Capital,LU,PE,1188577758,,,Venture,Europe
FUND_LU_9170,Green Ltd,LU,Private Debt,2591109440,,2024-09-26,Unitranche; Direct Lending,Pan-European
FUND_FR_9098,Seine Capital,FR,Private Debt,2734587505,2026-04-30,,Unitranche; Mezzanine,Western Europe
FUND_LU_9032,Luxembourg Capital,LU,PE,1455897867,,2023-11-20,Venture; Growth,Pan-European
FUND_NL_9013,NL Capital Partners,NL,PE,1721848349,2027-01-27,2024-02-21,Buyout,Pan-European
FUND_FR_9036,"Middleton, Lowe and Cook",FR,Private Debt,2272497518,,2023-04-12,Senior Secured; Mezzanine,Pan-European
FUND_IT_9120,Milan Capital,IT,PE,628327916,,2024-01-17,Growth,Global
FUND_LU_9043,Grand Capital,LU,RE,2823547338,,,Value-Add,Western Europe
FUND_IT_9190,Italian Capital,IT,Private Debt,1931179098,2027-03-24,2022-09-16,Mezzanine; Unitranche; Direct Lending,Pan-European
FUND_NL_9091,"Anderson, Robinson and Lee",NL,Infra,2449609517,,2024-02-11,Renewables; Transportation; Digital Infra,Western Europe
FUND_NL_9137,"Scott, Rogers and Houghton",NL,Infra,708919918,,,Digital Infra,Europe
FUND_LU_9052,Banks PLC,LU,PE,994140327,,2022-07-30,Distressed; Mid-market; Venture,Europe
FUND_LU_9128,"Miller, Butler and James",LU,Infra,101554191,,2022-04-08,Digital Infra; Transportation,Global
FUND_LU_9163,Wright-West,LU,PE,1737910758,2026-02-03,,Mid-market; Distressed,Pan-European
FUND_LU_9042,"Gould, Noble and Bishop",LU,PE,1313398288,,2022-08-15,Growth,Europe
FUND_IT_9119,Milan Capital,IT,RE,545760932,2027-05-19,2024-12-19,Opportunistic; Core,Europe
FUND_LU_9114,Grand Capital,LU,PE,1329552508,,,Growth,Western Europe
FUND_FR_9027,"Ryan, Wright and Burke",FR,Private Debt,2113626298,,2023-01-28,Senior Secured; Unitranche; Direct Lending,Global
FUND_IT_9140,IT Capital,IT,RE,771997113,,2024-03-20,Value-Add; Opportunistic,Pan-European
FUND_FR_9101,Harrison-Clarke,FR,RE,473566372,,2023-10-06,Core; Value-Add; Opportunistic,Western Europe
FUND_FR_9112,Seine Capital,FR,RE,899886625,,2024-08-17,Residential; Logistics; Opportunistic,Pan-European
FUND_IT_9003,IT Capital Partners,IT,PE,594383579,2026-10-16,2022-12-26,Distressed; Venture,Western Europe
FUND_FR_9078,Paris Capital,FR,PE,2307955513,,,Mid-market,Pan-European
FUND_LU_9047,"Phillips, Barton and Holden",LU,RE,1292706659,,,Residential; Opportunistic,Europe
FUND_FR_9188,FR Capital,FR,PE,1839842455,,,Buyout; Distressed,Global
FUND_NL_9192,Morgan Group,NL,PE,1652709938,2027-01-02,2023-03-31,Mid-market; Venture; Growth,Western Europe
FUND_FR_9086,Smith-O'Neill,FR,Private Debt,1193329935,,,Direct Lending,Pan-European
FUND_NL_9162,Amsterdam Capital,NL,RE,918400101,,2023-11-19,Core; Residential,Europe
FUND_LU_9037,Luxembourg Capital,LU,Private Debt,1404918613,,2024-05-05,Unitranche; Mezzanine; Senior Secured,Europe
FUND_FR_9191,Paris Capital,FR,Infra,2151970150,,2022-11-10,Transportation; Social Infra; Renewables,Europe
FUND_FR_9062,Seine Capital,FR,RE,658149797,2026-01-07,2024-10-03,Logistics; Opportunistic; Core,Western Europe
FUND_NL_9023,Holland Capital Partners,NL,RE,1152169723,2026-06-15,2024-01-03,Value-Add; Core,Europe
FUND_NL_9142,"Kelly, Benson and Fraser",NL,PE,1336545588,,2022-05-23,Mid-market; Distressed,Pan-European
FUND_FR_9102,Webb-Brown,FR,PE,2841162605,2027-06-03,2022-12-18,Growth; Buyout; Venture,Europe
FUND_FR_9034,Gallic Capital,FR,RE,1054799748,,2023-11-15,Core,Global
FUND_LU_9012,Europa Capital Partners,LU,PE,2369674095,2026-06-03,2024-06-24,Growth; Buyout,Pan-European
FUND_NL_9195,Holland Capital,NL,Private Debt,621438663,,,Senior Secured; Unitranche; Mezzanine,Europe
FUND_FR_9160,Hammond and Sons,FR,Private Debt,1261167029,,,Direct Lending,Europe
FUND_LU_9007,Europa Capital Partners,LU,RE,2763335325,2027-09-28,2024-07-08,Opportunistic,Pan-European
FUND_NL_9028,Amsterdam Capital,NL,RE,254451027,2027-07-03,2022-11-01,Residential,Global
FUND_LU_9121,Europa Capital,LU,Private Debt,926209315,2027-03-21,2023-02-11,Unitranche; Senior Secured; Direct Lending,Western Europe
FUND_NL_9005,Dutch Capital Partners,NL,RE,1724336334,2027-07-09,,Core; Opportunistic; Logistics,Europe
FUND_LU_9033,Lux Capital,LU,Private Debt,339013681,2027-03-29,2022-06-05,Direct Lending; Mezzanine,Europe
FUND_IT_9143,Fisher and Sons,IT,Private Debt,419102993,,2024-02-13,Mezzanine,Europe
FUND_LU_9146,Europa Capital,LU,Infra,2745284190,2026-10-31,2024-04-30,Renewables; Social Infra; Digital Infra,Europe
FUND_NL_9110,Holland Capital,NL,PE,2657861314,2027-02-03,2024-12-24,Mid-market,Pan-European
FUND_NL_9145,NL Capital,NL,Infra,1488834312,,2022-12-01,Renewables; Social Infra; Digital Infra,Western Europe
FUND_NL_9011,NL Capital Partners,NL,PE,1913511396,2027-11-14,2022-09-13,Distressed; Venture; Buyout,Europe
FUND_IT_9063,Adriatic Capital,IT,RE,1454515317,2026-07-29,2022-06-10,Value-Add,Western Europe
FUND_NL_9113,Amsterdam Capital,NL,RE,796106547,,2022-06-12,Core; Opportunistic,Europe
FUND_LU_9147,"Jones, Higgins and Barber",LU,Private Debt,2173068477,,,Direct Lending,Europe
FUND_FR_9167,"Powell, Williams and Anderson",FR,RE,2167011194,2026-12-14,2024-06-01,Value-Add; Opportunistic; Residential,Pan-European
FUND_FR_9001,Paris Capital Partners,FR,PE,360902905,2027-12-20,,Growth; Mid-market,Western Europe
FUND_IT_9199,Johnson-Morley,IT,Infra,2322701714,,2022-07-30,Transportation,Global
FUND_NL_9154,NL Capital,NL,RE,2770621892,,,Core; Value-Add; Logistics,Europe
FUND_NL_9071,Amsterdam Capital,NL,RE,1799865243,,2024-02-27,Value-Add; Residential,Europe
FUND_LU_9124,Lux Capital,LU,Infra,542237602,,2024-05-28,Renewables; Transportation,Western Europe
FUND_IT_9065,Italian Capital,IT,Infra,2476851042,,,Social Infra; Renewables,Pan-European
FUND_IT_9045,Milan Capital,IT,Private Debt,2543654474,2026-04-04,2024-07-23,Unitranche; Direct Lending,Global
FUND_LU_9164,Luxembourg Capital,LU,Infra,1011970083,,2024-03-26,Digital Infra,Pan-European
FUND_IT_9029,Warner LLC,IT,Private Debt,2278793310,,2022-12-09,Senior Secured,Global
FUND_LU_9041,Lux Capital,LU,Private Debt,1620747522,2027-01-31,2023-04-23,Mezzanine,Pan-European
FUND_IT_9109,Arnold LLC,IT,PE,1111810613,,2024-09-29,Distressed,Global
FUND_FR_9156,Paris Capital,FR,PE,313933857,,,Mid-market; Venture; Growth,Western Europe
FUND_LU_9157,Lux Capital,LU,Infra,629031083,,2024-05-02,Renewables,Western Europe
FUND_IT_9026,"Davies, Hayward and Frost",IT,PE,796434805,,2023-03-07,Mid-market; Venture; Growth,Global
FUND_NL_9024,Amsterdam Capital Partners,NL,RE,1930870274,2027-04-04,,Logistics; Value-Add,Western Europe
FUND_LU_9185,"Webb, Walsh and Ali",LU,PE,1559748408,,,Venture; Buyout; Mid-market,Europe
FUND_NL_9148,Campbell-Price,NL,PE,2777626861,,2023-11-15,Buyout,Europe
FUND_IT_9082,IT Capital,IT,Infra,2801302061,,2023-12-15,Social Infra; Renewables; Transportation,Pan-European
FUND_LU_9040,Europa Capital,LU,Private Debt,402508214,,2023-09-16,Unitranche,Western Europe
FUND_NL_9169,Amsterdam Capital,NL,Private Debt,619640132,,2023-12-25,Mezzanine; Unitranche,Pan-European
FUND_IT_9048,White Group,IT,PE,1567587258,,2022-12-04,Distressed,Pan-European
FUND_FR_9095,Walters and Sons,FR,RE,2949831579,,2022-10-30,Core; Opportunistic; Logistics,Western Europe
FUND_IT_9155,IT Capital,IT,Infra,2500683242,,2024-05-12,Digital Infra,Europe
FUND_NL_9044,"Dixon, Mann and Powell",NL,Private Debt,815836357,2027-04-02,,Mezzanine; Senior Secured,Global
FUND_IT_9139,IT Capital,IT,PE,2095534633,,,Mid-market; Growth,Global
FUND_LU_9004,Europa Capital Partners,LU,PE,2807333861,2026-11-20,,Growth,Global
FUND_FR_9106,Jones-Williams,FR,RE,1734562253,,,Value-Add; Core; Opportunistic,Western Europe
FUND_FR_9054,"King, Holt and Hughes",FR,PE,1586250291,2027-11-12,2022-12-09,Buyout,Global
FUND_FR_9134,Gallic Capital,FR,RE,1576907265,,2022-12-05,Logistics; Residential; Opportunistic,Pan-European
FUND_LU_9181,Chadwick-Clayton,LU,RE,1772825644,,,Residential; Value-Add,Europe
FUND_FR_9179,Jones Ltd,FR,RE,2699853226,,2023-10-11,Residential,Western Europe
FUND_FR_9186,Barber-Harding,FR,Private Debt,2856599338,,,Mezzanine,Global
FUND_LU_9050,Lux Capital,LU,Private Debt,2479237400,2027-11-04,2024-06-15,Unitranche; Senior Secured,Western Europe
FUND_IT_9081,IT Capital,IT,RE,1144596275,2027-11-08,2023-10-22,Logistics; Residential,Europe
FUND_FR_9035,Ward Group,FR,Infra,917351283,,,Transportation,Global
FUND_IT_9008,Adriatic Capital Partners,IT,RE,2971767469,2026-11-18,,Core; Residential,Western Europe
FUND_NL_9111,Clark-Collins,NL,RE,2203715891,,2023-07-02,Core; Value-Add,Global
FUND_FR_9092,Wilson-Gardner,FR,RE,1689034437,2027-02-06,,Value-Add; Core; Logistics,Global
FUND_LU_9084,"Connolly, Fisher and Ward",LU,Private Debt,594255737,,2023-05-09,Unitranche,Europe
FUND_LU_9177,Lux Capital,LU,PE,368079654,,,Venture; Distressed,Pan-European
FUND_LU_9182,"Williams, Bradley and Morgan",LU,Infra,1981843864,,,Digital Infra,Pan-European
FUND_LU_9090,"Jones, Wood and Stewart",LU,Infra,2562469662,,,Social Infra,Europe
FUND_FR_9009,Gallic Capital Partners,FR,RE,1001336987,2026-07-09,2022-02-27,Opportunistic,Europe
FUND_FR_9014,Seine Capital Partners,FR,RE,1213368071,2027-06-13,2022-07-27,Residential; Core; Value-Add,Europe
FUND_LU_9060,"Shaw, Humphreys and Lewis",LU,PE,1020862117,,2023-11-05,Distressed,Europe
FUND_NL_9172,"Fox, Brown and Miller",NL,PE,746848741,,,Mid-market; Buyout; Venture,Pan-European
FUND_NL_9132,NL Capital,NL,RE,1400598438,,,Value-Add,Europe
FUND_LU_9018,Europa Capital Partners,LU,Infra,995155801,2027-03-18,2023-08-20,Transportation; Renewables; Social Infra,Europe
