account_id,current_aum_with_iqeq,total_fund_aum,revenue_fund_admin,revenue_middle_office,yoy_revenue_growth,service_penetration_score,existing_middle_office_flag,esg_policy_support_flag
ACC_LU_0001,0,2839795749,0,0,0.242,0.0,False,True
ACC_FR_0002,0,2849516729,0,0,0.262,0.0,False,False
ACC_NL_0003,0,1917219336,0,0,0.253,0.0,False,False
ACC_IT_0004,473331634,674971987,101253,171561,-0.07,0.701,True,True
ACC_IT_0005,131817577,358277675,568346,287433,0.018,0.368,True,True
ACC_NL_0006,0,2767968241,0,0,0.027,0.0,False,True
ACC_LU_0007,243361449,2053469123,428138,344774,0.191,0.119,True,True
ACC_NL_0008,199606987,1533087657,513802,0,0.298,0.13,False,True
ACC_LU_0009,863371197,2063847088,245114,116077,-0.069,0.418,True,False
ACC_FR_0010,1009573771,2731251881,410560,0,-0.195,0.37,False,True
ACC_LU_0011,718951883,1037413340,412111,0,0.154,0.693,False,False
ACC_NL_0012,80325719,843054222,35251,93936,0.254,0.095,True,False
ACC_LU_0013,0,2824033626,0,0,0.284,0.0,False,False
ACC_FR_0014,0,2269901337,0,0,-0.177,0.0,False,True
ACC_LU_0015,0,835604960,0,0,0.11,0.0,False,True
ACC_NL_0016,0,1244620761,0,0,-0.015,0.0,False,False
ACC_FR_0017,0,1722725127,0,0,0.09,0.0,False,True
ACC_LU_0018,1452115219,1560865493,526738,126926,0.065,0.93,True,True
ACC_FR_0019,0,438841962,0,0,-0.178,0.0,False,True
ACC_FR_0020,0,2627870721,0,0,0.217,0.0,False,False
ACC_LU_0021,788255200,2786087423,526161,0,0.181,0.283,False,True
ACC_NL_0022,899572087,1007729916,189325,0,0.182,0.893,False,True
ACC_NL_0023,0,2573797617,0,0,0.129,0.0,False,False
ACC_LU_0024,37800861,254344345,137916,104089,0.153,0.149,True,False
ACC_LU_0025,2768716998,2986085055,24475,283611,0.043,0.927,True,False
ACC_LU_0026,2213083227,2552931217,74192,347269,-0.11,0.867,True,True
ACC_NL_0027,0,1575339515,0,0,-0.064,0.0,False,False
ACC_NL_0028,0,1798464465,0,0,0.092,0.0,False,False
ACC_NL_0029,927784010,1625444679,249851,307301,0.138,0.571,True,False
ACC_IT_0030,119427437,175290288,408383,236135,0.276,0.681,True,False
ACC_FR_0031,0,545948859,0,0,-0.159,0.0,False,False
ACC_NL_0032,913861206,2012664037,573120,0,-0.197,0.454,False,False
ACC_NL_0033,0,2002900995,0,0,0.275,0.0,False,True
ACC_FR_0034,1631277044,2221481130,574441,0,-0.094,0.734,False,True
ACC_LU_0035,0,1966567685,0,0,-0.038,0.0,False,True
ACC_LU_0036,290424612,305099858,228834,71204,0.283,0.952,True,False
ACC_NL_0037,305690502,358646092,97764,0,-0.058,0.852,False,False
ACC_NL_0038,240816409,1996786466,294507,322541,-0.045,0.121,True,False
ACC_LU_0039,319936462,480731338,499231,0,0.045,0.666,False,False
ACC_IT_0040,0,1481675091,0,0,0.082,0.0,False,False
ACC_NL_0041,0,2293822866,0,0,0.205,0.0,False,False
ACC_LU_0042,578917692,1358907175,24262,185409,-0.088,0.426,True,True
ACC_FR_0043,324109003,2090085953,297193,0,0.062,0.155,False,True
ACC_NL_0044,1241360438,1368331004,286566,51115,0.251,0.907,True,False
ACC_IT_0045,477784040,1616966965,28636,18037,-0.146,0.295,True,True
ACC_LU_0046,125876717,1332249211,396513,0,-0.073,0.094,False,True
ACC_IT_0047,169727136,337131728,68361,0,-0.11,0.503,False,True
ACC_IT_0048,103245008,1239576278,526053,234883,0.027,0.083,True,False
ACC_LU_0049,0,1909050143,0,0,-0.067,0.0,False,True
ACC_NL_0050,0,2903486917,0,0,0.236,0.0,False,True
ACC_FR_0051,475673483,636753433,362431,0,-0.147,0.747,False,True
ACC_FR_0052,9645854,1649690408,70006,190847,0.146,0.006,True,False
ACC_FR_0053,0,2900831041,0,0,0.101,0.0,False,False
ACC_IT_0054,0,1893648186,0,0,0.287,0.0,False,False
ACC_LU_0055,1417882647,2054029114,236998,50035,-0.193,0.69,True,True
ACC_NL_0056,0,424546257,0,0,-0.192,0.0,False,False
ACC_LU_0057,0,2591134887,0,0,-0.095,0.0,False,False
ACC_NL_0058,0,1984245495,0,0,0.018,0.0,False,True
ACC_FR_0059,0,1915571538,0,0,0.195,0.0,False,True
ACC_LU_0060,196695540,653651912,278055,0,-0.189,0.301,False,True
ACC_NL_0061,380825383,542024495,578320,0,0.23,0.703,False,False
ACC_IT_0062,389422911,683881418,500303,3149,0.115,0.569,True,False
ACC_IT_0063,0,2940512120,0,0,0.224,0.0,False,False
ACC_IT_0064,1013232473,1827934696,174464,0,0.043,0.554,False,False
ACC_LU_0065,0,1873336350,0,0,0.139,0.0,False,False
ACC_LU_0066,1082088659,1514914337,316985,126340,-0.168,0.714,True,True
ACC_LU_0067,0,2689343868,0,0,0.009,0.0,False,False
ACC_NL_0068,1441204856,1534887521,208058,0,-0.19,0.939,False,True
ACC_FR_0069,226039690,657383762,139261,363628,-0.03,0.344,True,False
ACC_LU_0070,0,2543154690,0,0,0.128,0.0,False,True
ACC_NL_0071,676415425,950842721,575882,0,0.137,0.711,False,True
ACC_LU_0072,1775254196,2230295433,479853,0,0.111,0.796,False,True
ACC_NL_0073,1516110902,2272837475,77457,242299,-0.15,0.667,True,True
ACC_FR_0074,1298212447,1306354649,182191,18819,-0.191,0.994,True,False
ACC_NL_0075,0,1135427237,0,0,-0.121,0.0,False,True
ACC_FR_0076,2237083926,2501051196,19182,172248,0.109,0.894,True,True
ACC_NL_0077,193334984,749877352,204194,18670,0.239,0.258,True,True
ACC_FR_0078,0,538417284,0,0,0.145,0.0,False,False
ACC_LU_0079,1442132053,2041509081,555979,182854,0.221,0.706,True,True
ACC_NL_0080,0,421699450,0,0,-0.147,0.0,False,False
ACC_NL_0081,2243643940,2368253147,494166,42164,0.115,0.947,True,False
ACC_NL_0082,430561061,2741858734,175273,202358,0.166,0.157,True,True
